Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
10644218,1315,7021,01/01/2021 00:04,Bay St / Albert St,7164,01/01/2021 00:26,Gould St / Yonge St (Ryerson University),6795,Annual Member
10644220,396,7534,01/01/2021 00:07,Walnut Ave / Queen St W,7524,01/01/2021 00:13,Lisgar Park,4176,Casual Member
10644221,86,7162,01/01/2021 00:10,Hayter St / Laplante Ave,7006,01/01/2021 00:11,Bay St / College St (East Side),1814,Annual Member
10644222,741,7003,01/01/2021 00:10,Madison Ave / Bloor St W,7272,01/01/2021 00:22,Yonge St / Dundonald St - SMART,198,Casual Member
10644223,2073,7562,01/01/2021 00:11,Priscilla  Ave / Dundas St W - SMART,7562,01/01/2021 00:45,Priscilla  Ave / Dundas St W - SMART,6688,Casual Member
10644224,1924,7442,01/01/2021 00:11,Lonsdale Rd / Spadina Rd,7256,01/01/2021 00:43,Vanauley St / Queen St W - SMART,196,Annual Member
10644225,473,7006,01/01/2021 00:12,Bay St / College St (East Side),7025,01/01/2021 00:19,Ted Rogers Way / Bloor St E,6882,Annual Member
10644226,265,7014,01/01/2021 00:13,Sherbourne St / Carlton St (Allan Gardens),7508,01/01/2021 00:17,Berkeley St / Dundas St E - SMART,6485,Annual Member
10644227,1079,7053,01/01/2021 00:13,Metro Hall Plaza,7079,01/01/2021 00:31,McGill St / Church St,5791,Casual Member
10644228,981,7528,01/01/2021 00:15,Spadina Rd / Austin Terrace - SMART,7481,01/01/2021 00:31,Westmount Ave / St Clair Ave W - SMART,2951,Casual Member
10644229,955,7528,01/01/2021 00:15,Spadina Rd / Austin Terrace - SMART,7481,01/01/2021 00:31,Westmount Ave / St Clair Ave W - SMART,3196,Casual Member
10644230,757,7467,01/01/2021 00:18,Lower Simcoe St / Bremner Blvd,7203,01/01/2021 00:30,Bathurst St/Queens Quay(Billy Bishop Airport),2598,Annual Member
10644231,229,7257,01/01/2021 00:18,Dundas St W / St. Patrick St,7546,01/01/2021 00:22,Ross St / Cecil St - SMART,4273,Casual Member
10644232,1226,7038,01/01/2021 00:19,Dundas St W / Yonge St,7468,01/01/2021 00:40,Front St / Simcoe St,1434,Casual Member
10644233,1857,7246,01/01/2021 00:20,Yonge St / Bloor St,7473,01/01/2021 00:51,Adelaide St W / Strachan Ave,3263,Casual Member
10644234,1190,7038,01/01/2021 00:20,Dundas St W / Yonge St,7468,01/01/2021 00:40,Front St / Simcoe St,2594,Casual Member
10644235,241,7014,01/01/2021 00:20,Sherbourne St / Carlton St (Allan Gardens),7028,01/01/2021 00:24,Gould St / Mutual St,4029,Annual Member
10644236,236,7014,01/01/2021 00:20,Sherbourne St / Carlton St (Allan Gardens),7578,01/01/2021 00:24,Oak St / Parliament St,3963,Annual Member
10644237,1849,7246,01/01/2021 00:20,Yonge St / Bloor St,7473,01/01/2021 00:51,Adelaide St W / Strachan Ave,1446,Casual Member
10644238,1153,7038,01/01/2021 00:21,Dundas St W / Yonge St,7468,01/01/2021 00:40,Front St / Simcoe St,6489,Casual Member
10644239,1152,7038,01/01/2021 00:21,Dundas St W / Yonge St,7468,01/01/2021 00:40,Front St / Simcoe St,538,Casual Member
10644240,440,7100,01/01/2021 00:22,Dundas St E / Regent Park Blvd,7167,01/01/2021 00:30,Queen St E / George St (Moss Park),6414,Annual Member
10644241,120,7031,01/01/2021 00:23,Jarvis St / Isabella St,7024,01/01/2021 00:25,Dundonald St / Church St,4846,Annual Member
